Title,URL,Type,Category,Tags,Published,Inbound internal links,Outbound internal links,Outbound external links
"Uncategorized Archives - Link Whisper Testing Site",/link-whisper-test-site/category/uncategorized/,Category,,,"not set",1,0,0
"Facere tempora dolor cupiditate voluptate illum asperiores quia quis tempora amet iste quia quibusdam Archives - Link Whisper Testing Site",/link-whisper-test-site/tag/facere-tempora-dolor-cupiditate-voluptate-illum-asperiores-quia-quis-tempora-amet-iste-quia-quibusdam/,Tag,,,"not set",0,1,0
"Quae ullam aut ipsa ut aliquam dolorem ratione sint quisquam velit est earum voluptas sapiente et accusamus Archives - Link Whisper Testing Site",/link-whisper-test-site/tag/quae-ullam-aut-ipsa-ut-aliquam-dolorem-ratione-sint-quisquam-velit-est-earum-voluptas-sapiente-et-accusamus/,Tag,,,"not set",0,1,0
"Suscipit ut voluptates expedita aperiam rerum laudantium Archives - Link Whisper Testing Site",/link-whisper-test-site/category/sint-omnis-ut-a-asperiores/suscipit-ut-voluptates-expedita-aperiam-rerum-laudantium/,Category,,,"not set",1,1,0
"Quia id et explicabo vel perspiciatis Archives - Link Whisper Testing Site",/link-whisper-test-site/tag/quia-id-et-explicabo-vel-perspiciatis/,Tag,,,"not set",1,0,0
"Ipsum suscipit odio laboriosam quidem sit fugit ut Archives - Link Whisper Testing Site",/link-whisper-test-site/tag/ipsum-suscipit-odio-laboriosam-quidem-sit-fugit-ut/,Tag,,,"not set",0,1,0
"Sint omnis ut a asperiores Archives - Link Whisper Testing Site",/link-whisper-test-site/category/sint-omnis-ut-a-asperiores/,Category,,,"not set",1,1,0
"Consequatur quam consequatur et possimus dolore Archives - Link Whisper Testing Site",/link-whisper-test-site/tag/consequatur-quam-consequatur-et-possimus-dolore/,Tag,,,"not set",0,0,0
"Uncategorized Archives - Link Whisper Testing Site",/link-whisper-test-site/category/uncategorized-sk/,Category,,,"not set",1,0,0
"Bez kategorii - Link Whisper Testing Site - Dude!",/link-whisper-test-site/category/bez-kategorii-sk/,Category,,,"not set",1,0,0
"غير مصنف Archives - Link Whisper Testing Site",/link-whisper-test-site/category/%d8%ba%d9%8a%d8%b1-%d9%85%d8%b5%d9%86%d9%81/,Category,,,"not set",0,0,0
"A cool testing tag Archives - Link Whisper Testing Site",/link-whisper-test-site/tag/a-cool-testing-tag/,Tag,,,"not set",0,0,0
"Bag End Archives - Link Whisper Testing Site!!!",/link-whisper-test-site/category/bag-end/,Category,,,"not set",1,0,1
"New Test Category Archives - Link Whisper Testing Site",/link-whisper-test-site/category/bag-end/new-test-category/,Category,,,"not set",1,0,0
"Uncategorized Archives - Link Whisper Testing Site",/link-whisper-test-site/tag/uncategorized/,Tag,,,"not set",0,0,0
"testing tag Archives - Link Whisper Testing Site",/link-whisper-test-site/tag/testing-tag/,Tag,,,"not set",0,0,0
"and another Archives - Link Whisper Testing Site",/link-whisper-test-site/tag/and-another/,Tag,,,"not set",0,0,0
"testing 1 Archives - Link Whisper Testing Site",/link-whisper-test-site/tag/testing-1/,Tag,,,"not set",0,0,0
"testing 2 Archives - Link Whisper Testing Site",/link-whisper-test-site/tag/testing-2/,Tag,,,"not set",0,0,0
"Banana Shoes Archives - Link Whisper Testing Site",/link-whisper-test-site/tag/banana-shoes/,Tag,,,"not set",0,0,0
"Sint omnis ut a asperiores Archives - Link Whisper Testing Site",/link-whisper-test-site/tag/sint-omnis-ut-a-asperiores/,Tag,,,"not set",0,0,0
"Uncategorized Archives - Link Whisper Testing Site",/link-whisper-test-site/category/uncategorized-sv/,Category,,,"not set",1,0,0
"Bag End Archives - Link Whisper Testing Site",/link-whisper-test-site/category/bag-end-bez-kategorii-sk/,Category,,,"not set",1,0,9
"matching slug term Archives - Link Whisper Testing Site",/link-whisper-test-site/category/matching-slug-term/,Category,,,"not set",0,0,0
"matching slug term Archives - Link Whisper Testing Site",/link-whisper-test-site/tag/matching-slug-term/,Tag,,,"not set",0,0,0
"Non classifié(e) Archives - Link Whisper Testing Site",/link-whisper-test-site/category/non-classifiee/,Category,,,"not set",1,0,0
"Sem categoria Archives - Link Whisper Testing Site",/link-whisper-test-site/category/sem-categoria/,Category,,,"not set",1,0,0
"Sin categorizar Archives - Link Whisper Testing Site",/link-whisper-test-site/category/sin-categorizar/,Category,,,"not set",1,0,0
"Bag End in Swedish Archives - Link Whisper Testing Site",/link-whisper-test-site/category/bag-end-in-swedish/,Category,,,"not set",0,0,1
"Bez kategorii Archives - Link Whisper Testing Site",/link-whisper-test-site/category/bez-kategorii/,Category,,,"not set",1,0,0
"empty tag Archives - Link Whisper Testing Site",/link-whisper-test-site/tag/empty-tag/,Tag,,,"not set",0,0,0
"Aut et dolor quasi et quis - Link Whisper Testing Site",/link-whisper-test-site/aut-et-dolor-quasi-et-quis-dude/,Page,,,"June 19, 2015",1,0,19
"Voluptas eveniet libero commodi ab - Link Whisper Testing Site",/link-whisper-test-site/voluptas-eveniet-libero-commodi-ab/,Page,"Custom Page Category 3",,"June 23, 2015",1,1,7
"Ducimus repudiandae laudantium enim - Link Whisper Testing Site",/link-whisper-test-site/ducimus-repudiandae-laudantium-enim/,Page,"Custom Page Category 2",,"July 24, 2015",17,2,14
"Et exercitationem blanditiis quis exercitationem dolores - Link Whisper Testing Site",/link-whisper-test-site/et-exercitationem-blanditiis-quis-exercitationem-dolores/,Page,,,"August 11, 2015",4,1,19
"Eligendi eveniet optio delectus esse dolor adipisci - Link Whisper Testing Site",/link-whisper-test-site/eligendi-eveniet-optio-delectus-esse-dolor-adipisci/,Page,,,"February 10, 2016",2,0,22
"Omnis odio eveniet sed ut dolore - Link Whisper Testing Site",/link-whisper-test-site/omnis-odio-eveniet-sed-ut-dolore/,Page,"Custom Page Category 1, Custom Page Category 2, Custom Page Category 3, Custom Page Category 4, Custom Page Category 5",,"July 13, 2017",1,5,25
"Minima quis et quisquam quas sapiente aut modi incidunt sed voluptatem - Link Whisper Testing Site",/link-whisper-test-site/minima-quis-et-quisquam-quas-sapiente-aut-modi-incidunt-sed-voluptatem/,Page,"Custom Page Category 1, Custom Page Category 2, Custom Page Category 3, Custom Page Category 4, Custom Page Category 5",,"November 28, 2017",2,2,16
"Iste sint neque et ut suscipit illum repellendus similique - Link Whisper Testing Site",/link-whisper-test-site/iste-sint-neque-et-ut-suscipit-illum-repellendus-similique/,Page,"Custom Page Category 1, Custom Page Category 2, Custom Page Category 3, Custom Page Category 4, Custom Page Category 5",,"December 10, 2017",1,1,20
"Atque quidem perferendis officia nulla - Link Whisper Testing Site",/link-whisper-test-site/atque-quidem-perferendis-officia-nulla/,Page,"Custom Page Category 1, Custom Page Category 2, Custom Page Category 3, Custom Page Category 4, Custom Page Category 5",,"January 25, 2018",1,3,19
"Sequi quis asperiores voluptatem expedita quidem - Link Whisper Testing Site",/link-whisper-test-site/sequi-quis-asperiores-voluptatem-expedita-quidem/,Page,"Custom Page Category 1, Custom Page Category 2, Custom Page Category 3, Custom Page Category 4",,"February 6, 2018",2,6,16
"Deleniti repudiandae quisquam suscipit quo voluptatem - Link Whisper Testing Site",/link-whisper-test-site/deleniti-repudiandae-quisquam-suscipit-quo-voluptatem/,Page,"Custom Page Category 1, Custom Page Category 2, Custom Page Category 3, Custom Page Category 4, Custom Page Category 5",,"July 20, 2018",1,2,15
"Ex aut quia ab sed - Link Whisper Testing Site",/link-whisper-test-site/ex-aut-quia-ab-sed/,Page,"Custom Page Category 1, Custom Page Category 2, Custom Page Category 3, Custom Page Category 5",,"March 29, 2019",1,0,5
